caseid,humanori,atlantis,posthink,fortunet,astrolog,haunting,dreams,ufos,bigfoot,WATCH_TA,WATCH_CO,WATCH_TR,WATCH_CR
296,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Sometimes,Rarely,Very often,Never
297,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Rarely,Rarely,Rarely,Rarely
298,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Rarely,Rarely,Sometimes,Sometimes
299,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Sometimes,Rarely,Sometimes,Rarely
300,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,Never,Sometimes,Often,Sometimes
301,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Often,Often,Sometimes,Sometimes
302,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Rarely,Rarely,Rarely,Sometimes
303,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Never,Rarely,Rarely,Sometimes
304,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Rarely,Rarely,Sometimes,Often
305,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Rarely,Never,Rarely,Never
306,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Never,Never,Rarely,Rarely
307,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,Never
308,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Agree,Rarely,Very often,Very often,Sometimes
309,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes
310,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Very often,Sometimes,Rarely,Rarely
311,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Often,Sometimes,Often,Very often
312,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Rarely,Rarely,Sometimes,Sometimes
313,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Never,Often,Never,Sometimes
314,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Never,Never,Rarely,Often
315,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Rarely,Rarely,Sometimes,Sometimes
316,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Never,Very often,Rarely,Never
317,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Sometimes,Sometimes,Rarely,Sometimes
318,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Rarely,Sometimes,Sometimes,Often
319,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Disagree,Very often,Very often,Often,Often
320,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Never,Sometimes,Often,Rarely
321,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Often,Often,Rarely,Sometimes
322,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Rarely,Rarely,Rarely,Sometimes
323,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Sometimes,Often,Often
324,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Never,Rarely,Never,Rarely
325,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Often,Rarely,Often,Rarely
326,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree,Never,Never,Never,Never
327,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Rarely,Rarely,Rarely,Rarely
328,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Rarely,Often,Sometimes,Sometimes
329,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Rarely,Rarely,Sometimes,Rarely
330,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Sometimes,Very often,Rarely,Sometimes
331,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Never,Never,Never,Never
332,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Sometimes,Rarely,Very often
333,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Rarely,Rarely,Sometimes,Sometimes
334,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Strongly disagree,Rarely,Sometimes,Rarely,Never
335,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Rarely,Sometimes,Often,Often
336,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes
337,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Agree,Rarely,Sometimes,Sometimes,Rarely
338,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Never,Rarely,Sometimes,Often
339,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Sometimes,Never,Sometimes,Sometimes
340,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Disagree,Rarely,Often,Never,Never
341,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Very often,Often,Sometimes,Very often
342,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Never,Sometimes,Never,Rarely
343,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Very often,Sometimes,Rarely,Rarely
344,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Sometimes,Sometimes,Often,Often
345,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Never,Never,Never,Never
346,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Rarely
347,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Rarely,Often,Rarely,Very often
348,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Disagree,Strongly agree,Agree,Agree,Agree,Never,Never,Never,Never
349,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Never,Never,Sometimes,Sometimes
350,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Rarely,Never,Sometimes,Very often
351,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Never,Never,Rarely,Often
352,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Very often,Very often,Very often,Rarely
353,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Sometimes,,Often,Sometimes
354,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Rarely,Rarely,Rarely,Rarely
355,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Often,Sometimes,Often,Very often
356,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Sometimes,Rarely,Sometimes,Never
357,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Sometimes,Sometimes,Often,Sometimes
358,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Rarely,,Sometimes,Very often
359,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes
360,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Never,Never,Never,Never
361,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Very often
362,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Disagree,Agree,Strongly agree,Disagree,Disagree,Sometimes,Often,Sometimes,Rarely
363,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Rarely,Sometimes,Sometimes
364,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Agree,Never,Sometimes,Never,Never
365,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Sometimes,Never,Often,Sometimes
366,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Often,Sometimes,Often
367,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Rarely,Rarely,Often,Rarely
368,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Rarely,Never,Never,Never
369,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Disagree,,,Disagree,,Never,Rarely,Rarely,Rarely
370,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Often,Often,Often,Sometimes
371,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Very often,Very often,Very often,Very often
372,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Never,Rarely,Rarely,Rarely
373,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Never,Rarely,Never,Never
374,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Very often,Rarely,Never,Sometimes
375,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Disagree,Never,Sometimes,Rarely,Sometimes
376,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Rarely,Never,Rarely,Rarely
377,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Strongly disagree,Sometimes,Rarely,Often,Often
378,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Never,Sometimes,Never,Sometimes
379,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Rarely,Rarely,Never,Sometimes
380,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Sometimes,Often,Often,Often
381,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Never,Rarely,Sometimes,Very often
382,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Often,Often,Sometimes,Sometimes
383,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Strongly disagree,Rarely,Rarely,Rarely,Very often
384,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Rarely,Sometimes
385,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Rarely,Rarely,Very often,Often
386,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Never,Rarely,Never,Never
387,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Rarely,Often,Sometimes,Often
388,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Very often,Never,Rarely,Very often
389,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Sometimes,Sometimes,Rarely,Often
390,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Rarely,Very often,Sometimes,Sometimes
391,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Rarely,Rarely,Never,Never
392,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Disagree,Disagree,Very often,Often,Sometimes,Sometimes
393,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Rarely,Never,Sometimes,Sometimes
394,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Rarely,Never,Rarely,Often
395,,,,,,,,,,,,,
396,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Often,Often,Rarely,Sometimes
397,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Rarely,Rarely,Rarely,Often
398,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Never,Sometimes,Sometimes,Never
399,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Rarely,Rarely,Often,Very often
400,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Rarely,Sometimes,Rarely,Very often
401,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Rarely,Rarely,Never,Sometimes
402,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Disagree,Never,Rarely,Never,Sometimes
403,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Sometimes,Never,Never,Never
404,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Sometimes,Never,Sometimes,Sometimes
405,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Never,Never,Sometimes,Never
406,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Sometimes,Sometimes,Often,Very often
407,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Rarely
408,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Never,Sometimes,Very often
410,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Sometimes,Often,Sometimes,Often
412,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Never,Never,Rarely,Rarely
413,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Sometimes,Often,Sometimes,Often
414,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Sometimes,Rarely,Sometimes,Very often
415,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Rarely,Rarely,Rarely,Very often
416,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Never,Very often,Never,Never
417,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Rarely,Sometimes,Rarely,Often
418,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Rarely,Never,Rarely,Often
419,,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Never,Never,Very often,Very often
420,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Often,Often,Rarely,
421,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Sometimes,Never,Very often,Very often
422,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Never,Never,Never,Never
423,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Often,Sometimes,Sometimes
424,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Rarely,Sometimes,Rarely,Rarely
425,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly disagree,Never,Never,Never,Never
426,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Rarely,Never,Sometimes
427,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Rarely,Rarely,Very often,Often
428,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Very often,Very often,Sometimes,Often
429,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Never,Never,Sometimes,Often
430,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Never,Never,Never,Never
431,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Never,Never,Often,Often
432,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Very often,Sometimes,Rarely,Never
433,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Disagree,Never,Rarely,Sometimes,Sometimes
434,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Sometimes,Very often,Rarely,Sometimes
435,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Disagree,Agree,Disagree,Agree,Strongly agree,Agree,Disagree,Never,Never,Rarely,Rarely
436,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly disagree,Never,Rarely,Never,Never
437,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Never,Never,Never,Never
438,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Never,Sometimes,Never,Sometimes
439,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,,Disagree,Never,Never,Very often,Very often
440,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Very often,Sometimes,Never,Very often
441,,,,,,,,,,,,,
442,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Never,Sometimes,Often,Sometimes
443,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Rarely,Sometimes,Rarely,Rarely
444,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Never,Rarely,Rarely
445,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Never,Very often,Rarely,Rarely
446,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Never,Never,Never,Never
447,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Rarely,Sometimes,Rarely,Sometimes
448,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Often,Rarely
449,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Rarely,Sometimes,Sometimes,Never
450,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Never,Never,Never,Never
451,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Never,Often,Never,Very often
452,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Often,Often,Often,Often
453,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Very often,Very often,Very often,Very often
