QKEY,XVET_W48.5,DEVICE_TYPE_W48.5,LANG_W48.5,SERVEDACS_W48.5,ERAACS_1_W48.5,ERAACS_2_W48.5,ERAACS_3_W48.5,ERAACS_4_W48.5,ERAACS_5_W48.5,ERAACS_6_W48.5,ERAACS_7_W48.5,ERAACS_8_W48.5,ERAACS_9_W48.5,LASTERA_W48.5,BRANCH_1_W48.5,BRANCH_2_W48.5,BRANCH_3_W48.5,BRANCH_4_W48.5,BRANCH_5_W48.5,BRANCH_6_W48.5,BRANCH_7_W48.5,BRANCH_8_W48.5,BRANCH_9_W48.5,BRANCH_10_W48.5,BRANCH_11_W48.5,BRANCH_12_W48.5,BRANCH_97_W48.5,ACTIVATED_W48.5,E2MOD_W48.5,E3MOD_W48.5,SATLIFEa_W48.5,SATLIFEb_W48.5,SATLIFEc_W48.5,SATLIFEd_W48.5,SATLIFEe_W48.5,TRUMPCMD_W48.5,TRUMPCMD2_W48.5,TRUMPVET_W48.5,MILBUDGET_W48.5,TRUMPMIL_W48.5,TRUMPTRSTa_W48.5,TRUMPTRSTb_W48.5,TRUMPRELY_W48.5,TRUMPAPPROVa_W48.5,TRUMPAPPROVb_W48.5,TRUMPAPPROVc_W48.5,IRAQWRTH_W48.5,AFGHANWRTH_W48.5,SYRIAWRTH_W48.5,MILCIV_REASK,MILCIVa_W48.5,MILCIVb_W48.5,MILCIVc_W48.5,MILCIVd_W48.5,MILCIVe_W48.5,MILCIVf_W48.5,MILCIVg_W48.5,MILCIVh_W48.5,MILCIVi_W48.5,MILPOLICYa_W48.5,MILPOLICYb_W48.5,MILPOLICYc_W48.5,MILPOLICYd_W48.5,JOIN_W48.5,YEARSERV_W48.5,RANK_W48.5,SERVIRAQ_W48.5,SERVAFGHAN_W48.5,MARRACTIV_W48.5,PARACTIV_W48.5,FAMNEEDS_W48.5,DEPLOY_W48.5,IMPCTDEPLOY_REASK,IMPCTDEPLOYa_W48.5,IMPCTDEPLOYb_W48.5,IMPCTDEPLOYc_W48.5,IMPCTDEPLOYd_W48.5,COMBAT_W48.5,COMBATEXPa_W48.5,COMBATEXPb_W48.5,COMBATEXPc_W48.5,COMBATEXPd_W48.5,COMBATRSLTa_W48.5,COMBATRSLTb_W48.5,COMBATRSLTc_W48.5,COMBATRSLTd_W48.5,INJURED_W48.5,KNOWINJURED_W48.5,KNOWKILLED_W48.5,MILTRAIN_W48.5,MILTOCIV_W48.5,CIVADJ_W48.5,VAJOB_W48.5,VABENEFITS_W48.5,GOVHELP_W48.5,CIVADJPROBa_W48.5,CIVADJPROBb_W48.5,CIVADJPROBc_W48.5,CIVADJPROBd_W48.5,CIVADJPROBe_W48.5,CIVADJISSa_W48.5,CIVADJISSb_W48.5,CIVADJISSc_W48.5,CIVADJISSd_W48.5,CIVADJISSe_W48.5,UPDOWN_W48.5,WORKUPDOWN_W48.5,HADJOB_W48.5,LOOKJOB_W48.5,SCHOOL_W48.5,MILJOBSKILLS_W48.5,FINDJOB_W48.5,JOBQUAL_W48.5,FIRSTJOB_W48.5,MILHELPJOB_REASK,MILHELPJOB_W48.5,TRAUMA1_W48.5,TRAUMA2_W48.5,TRAUMA3_W48.5,F_METRO,F_CREGION,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_RACECMB,F_RACETHN,F_NATIVITY,F_CITIZEN,F_MARITAL,F_RELIG,F_BORN,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_INCOME,F_INCOME_RECODE,F_REG,F_IDEO,F_ACSWEB,F_VOLSUM,F_VET1,WEIGHT_GP,WEIGHT_VET
2512,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,3,1,1,1,1,1,1,2,3,2,2,2,2,99,1,1,1,1,1,2,1,3,1,2,3,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,1,1,5,1,NA,3,NA,NA,2,NA,NA,NA,2,NA,2,4,2,NA,2,NA,NA,NA,1.2334178341,NA
2513,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA,2,2,2,2,3,3,2,3,3,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,3,2,3,1,2,NA,4,NA,NA,1,NA,NA,NA,4,99,9,2,3,NA,99,NA,NA,NA,1.7818619306,NA
2514,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,3,3,3,4,4,2,4,4,3,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,1,3,2,2,NA,1,NA,NA,2,NA,NA,NA,4,99,9,2,3,NA,99,NA,NA,NA,1.2414054338,NA
2515,2,1,9,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,3,1,1,2,1,2,1,2,2,3,3,2,3,3,2,4,3,3,1,1,2,1,1,1,1,3,3,3,1,1,3,4,2,3,4,1,3,2,2,2,1,2,1,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,2,2,2,3,1,3,2,2,2,2,2,3,2,2,1,3,3,1,2,2,1,2,2,3,3,1,5,2,2,2,NA,3,2,2,1,5,2,NA,1,NA,NA,1,NA,NA,NA,3,2,2,7,1,NA,3,NA,NA,NA,NA,0.3578412693
2516,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,NA,1,2,1,2,2,3,3,3,4,3,4,3,4,1,1,2,1,1,1,1,3,3,3,1,3,3,3,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,1,1,5,2,NA,1,NA,NA,6,NA,NA,NA,1,NA,1,4,2,NA,1,NA,NA,NA,1.1563381491,NA
2518,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2,1,1,1,1,3,1,1,1,3,1,1,1,2,2,2,1,3,3,3,3,1,1,3,3,3,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,1,2,4,2,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,8,1,NA,4,NA,NA,NA,1.0027766864,NA
2526,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA,3,2,1,1,1,3,1,2,1,2,2,1,2,1,1,2,2,1,3,3,3,1,3,1,1,3,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,3,1,2,3,2,NA,1,NA,NA,3,NA,NA,NA,3,1,1,3,3,NA,2,NA,NA,1,0.884386704,NA
2532,2,1,9,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,3,1,2,1,2,3,2,2,1,4,2,2,4,4,2,4,4,4,2,2,2,1,1,3,1,3,2,3,3,3,3,2,4,4,4,2,3,2,1,2,1,1,2,3,1,1,1,3,2,1,1,1,2,2,2,1,1,2,4,1,1,2,4,2,4,1,2,1,2,2,2,1,2,3,3,3,2,1,1,2,1,3,1,1,1,1,1,2,2,2,1,NA,3,2,1,2,4,1,NA,3,NA,NA,1,NA,NA,NA,2,NA,2,7,1,NA,4,NA,NA,NA,NA,0.3411221447
2534,2,3,9,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,3,1,2,2,2,2,2,1,1,2,3,3,2,2,3,2,2,2,2,1,1,1,1,3,1,3,3,3,1,1,2,2,3,3,2,1,3,2,1,2,2,2,NA,2,1,1,1,1,1,1,2,2,2,2,NA,NA,NA,NA,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,1,NA,1,1,NA,3,2,1,2,2,2,2,NA,2,2,1,2,3,2,NA,1,NA,NA,6,NA,NA,NA,3,1,1,3,3,NA,3,NA,NA,NA,NA,0.3184488644
2535,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,1,4,99,99,4,4,99,99,99,99,2,2,2,1,99,99,99,99,99,99,99,99,99,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,2,1,6,2,NA,2,NA,NA,2,NA,NA,NA,4,99,9,99,99,NA,3,NA,NA,NA,1.5003970949,NA
2542,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,2,3,1,2,2,2,2,2,2,1,1,1,1,1,3,3,3,3,3,1,3,3,2,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,1,1,3,1,2,NA,1,NA,NA,6,NA,NA,NA,1,NA,1,8,1,NA,2,NA,NA,NA,1.1030456789,NA
2549,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,3,1,2,1,1,1,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,3,99,2,1,3,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,3,1,2,3,2,NA,1,NA,NA,3,NA,NA,NA,3,1,1,7,1,NA,3,NA,NA,NA,0.8566890615,NA
2550,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,2,3,2,1,3,1,3,3,4,2,3,4,4,2,2,2,1,1,1,1,2,2,3,1,2,3,3,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,1,1,6,2,NA,4,NA,NA,1,NA,NA,NA,2,NA,2,7,1,NA,2,NA,NA,NA,1.6948011745,NA
2551,2,3,9,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,3,1,1,1,1,2,1,1,2,2,3,1,2,2,2,3,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,4,1,2,1,5,1,2,2,1,1,1,3,1,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,1,1,4,1,2,2,2,2,2,2,4,4,1,1,4,1,1,2,1,3,1,1,1,3,1,1,2,2,2,NA,3,2,1,1,6,2,NA,1,NA,NA,1,NA,NA,NA,3,1,1,9,1,NA,3,NA,NA,NA,NA,0.2461547786
2552,2,3,9,4,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,3,1,1,1,1,2,1,2,1,4,1,3,4,4,2,4,4,4,1,1,1,1,1,1,1,3,3,2,1,3,3,1,4,4,4,1,5,2,2,2,1,1,1,4,1,1,1,3,1,1,2,1,2,2,2,1,1,1,2,1,3,1,1,1,4,1,3,2,2,2,2,2,4,4,1,1,4,1,1,2,1,3,1,1,3,1,1,1,2,2,2,NA,3,3,1,2,3,1,NA,3,NA,NA,1,NA,NA,NA,1,NA,1,6,2,NA,1,NA,NA,NA,NA,0.0732389899
2559,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,99,99,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,3,2,2,4,2,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,99,99,NA,1,NA,NA,NA,0.7666519351,NA
2560,2,3,9,4,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,3,3,4,4,NA,3,2,1,1,1,1,1,1,1,3,1,1,1,2,2,1,1,1,1,1,3,3,3,1,1,1,3,3,4,1,1,3,2,2,2,1,2,1,4,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,3,3,3,1,2,1,1,1,1,2,1,1,2,2,1,2,NA,2,1,2,3,1,1,3,1,1,1,1,1,NA,4,3,1,2,4,2,NA,1,NA,NA,5,NA,NA,NA,3,2,2,1,3,NA,4,NA,NA,NA,NA,0.1337969791
2562,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,1,2,3,3,2,2,3,3,3,3,2,2,2,1,1,1,1,3,3,3,1,3,2,3,3,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,2,2,1,5,2,NA,4,NA,NA,3,NA,NA,NA,3,2,2,9,1,NA,2,NA,NA,NA,1.6838069143,NA
2565,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,2,2,3,2,3,4,4,2,4,2,4,2,2,2,1,1,1,1,3,1,3,1,3,3,3,4,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,4,1,3,2,2,NA,1,NA,NA,1,NA,NA,NA,2,NA,2,7,1,NA,4,NA,NA,1,0.9042598327,NA
2573,2,1,9,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,3,3,3,4,NA,1,1,1,1,3,1,3,1,3,3,4,3,1,2,1,1,1,1,1,1,3,2,3,1,1,1,4,1,1,1,1,3,4,1,2,1,2,4,4,1,3,1,1,1,1,2,1,1,1,3,3,1,3,4,1,3,1,4,4,4,1,2,1,2,1,2,2,2,1,1,1,3,3,NA,2,1,3,4,4,NA,NA,1,NA,2,2,1,NA,3,2,1,2,3,1,NA,3,NA,NA,6,NA,NA,NA,3,2,2,5,2,NA,3,NA,NA,NA,NA,0.3411221447
2579,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,2,2,3,3,3,3,3,3,3,3,3,2,2,2,1,99,2,2,2,99,3,2,2,99,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,1,1,1,5,2,NA,1,NA,NA,6,NA,NA,NA,2,NA,2,8,1,NA,3,NA,NA,NA,0.9714340166,NA
2580,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,2,1,6,2,NA,1,NA,NA,2,NA,NA,NA,2,NA,2,5,2,NA,3,NA,NA,NA,1.0622303728,NA
2582,1,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,3,1,1,1,1,3,1,2,2,99,99,2,99,1,1,99,1,1,1,1,3,3,3,3,3,3,1,99,99,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,4,2,1,6,2,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,9,1,NA,2,NA,NA,NA,0.8047486111,NA
2590,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,2,1,1,1,1,1,1,2,3,2,1,2,1,2,1,1,1,1,1,3,2,2,1,1,3,1,3,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,4,1,1,5,2,NA,4,NA,NA,1,NA,NA,NA,1,NA,1,7,1,NA,2,NA,NA,1,0.304795518,NA
2592,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,1,1,2,3,2,3,3,3,2,2,3,2,99,2,1,2,3,3,1,3,3,3,3,3,3,1,4,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,3,1,1,6,2,NA,2,NA,NA,3,NA,NA,NA,2,NA,2,6,2,NA,2,NA,NA,1,0.8076177661,NA
2595,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,2,1,2,2,3,2,3,3,3,2,2,2,3,2,99,2,1,1,3,3,1,1,1,1,2,2,3,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,1,2,3,2,NA,2,NA,NA,6,NA,NA,NA,3,2,2,4,2,NA,3,NA,NA,NA,1.2983782037,NA
2596,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,3,3,2,1,2,2,3,3,3,3,3,2,2,2,1,2,2,1,1,1,1,3,3,1,1,3,3,1,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,1,3,2,2,NA,1,NA,NA,6,NA,NA,NA,3,1,1,3,3,NA,3,NA,NA,NA,1.2902835313,NA
2598,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,2,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,1,1,6,2,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,9,1,NA,3,NA,NA,1,0.5640481063,NA
2602,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,2,1,3,3,3,4,3,2,4,4,4,2,2,2,1,1,3,1,3,3,3,1,3,1,4,1,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,3,1,1,5,2,NA,2,NA,NA,3,NA,NA,NA,2,NA,2,8,1,NA,1,NA,NA,NA,0.671212729,NA
2608,2,1,9,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,3,1,1,1,3,2,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,3,3,2,3,3,1,3,1,1,1,1,1,1,2,2,2,2,2,2,NA,3,1,3,1,1,2,1,2,2,2,2,NA,NA,NA,NA,4,1,1,1,3,2,3,1,2,2,2,1,2,2,2,3,1,1,2,1,1,1,NA,1,2,NA,1,3,1,5,1,1,1,NA,2,2,1,1,5,2,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,7,1,NA,1,NA,NA,NA,NA,0.2637763766
2610,1,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,NA,2,2,2,1,1,1,1,3,3,2,4,3,4,2,2,2,1,3,3,3,3,3,3,3,3,3,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,2,3,2,2,NA,1,NA,NA,5,NA,NA,NA,2,NA,2,7,1,NA,3,NA,NA,NA,0.9073965902,NA
2611,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,NA,4,3,2,1,4,3,2,4,4,2,4,4,4,2,2,2,1,3,3,3,3,3,3,3,3,3,4,4,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,2,1,3,2,2,NA,1,NA,NA,6,NA,NA,NA,3,2,2,3,3,NA,3,NA,NA,NA,1.3648686929,NA
