X,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
57858,US,"Initial volatile notes blow off to reveal ripe red cherry, sweet sawdust, vanilla and cola notes. With 32 months in French oak, toasty flavors pervade on the light-bodied palate, while underneath all that, luscious cherry transitions to spicy raspberry.",,86,59,Michigan,Leelanau Peninsula,,Alexander Peartree,,Three Fires 2012 Pinot Noir (Leelanau Peninsula),Pinot Noir,Three Fires
58195,US,"Candied peach and apricot aromas meld with dusty pollen and saffron on the nose. Showing a bit more ripeness on the palate, pineapple and mango tones appear, with wildflower honey and ginger spice offering nuance. Vibrant acidity drives the palate and follows through to a lingering floral finish.",Braganini Reserve Late Harvest,88,20,Michigan,Lake Michigan Shore,,Alexander Peartree,,St. Julian 2013 Braganini Reserve Late Harvest Vignoles (Lake Michigan Shore),Vignoles,St. Julian
59007,US,"As a side project alongside the Mari Vineyards wines, this is the first release of winemaker Sean O'Keefe's Scriptorium line. Blending BlaufrÃ¤nkisch, Zweigelt and Lagrein, this cool-climate red boasts dark cherry and raspberry laced with pink peppercorn and cedar oil. There's ample concentration of fruit on the palate, with lively acidity and crushed stone keeping things light.",Scriptorium Bestiary,88,24,Michigan,Old Mission Peninsula,,Alexander Peartree,,Mari 2013 Scriptorium Bestiary Red (Old Mission Peninsula),Red Blend,Mari
59150,US,"The pleasant nose offers mildly intense aromas of pineapple, orange Creamsicle, white strawberry and melon. Medium in body, the open palate bears wooly flavors, finishing with a zesty replay of the orange Creamsicle note.",Estates,85,21,Missouri,Augusta,,,,Mount Pleasant Winery 2010 Estates Vidal Blanc (Augusta),Vidal Blanc,Mount Pleasant Winery
59725,US,"This light-bodied, semidry Riesling from Traverse City's first urban winery offers an explosion of peach blossom, apricot and ripe pineapple on the nose and palate. A vein of lime zest creates tension from start to finish, making this well-balanced offering a perfect apÃ©ritif.",The Missing Spire,88,18,Michigan,Michigan,,Alexander Peartree,,Left Foot Charley 2014 The Missing Spire Riesling (Michigan),Riesling,Left Foot Charley
59738,US,"From the lightly nutty almond-skin aroma, to the creamy palate and savory finish, it's apparent that the winemaker enjoys experimenting with lees contact to help broaden the midpalate. While this application might seem a little aggressive to some, there's a lovely balance of juicy red apple and streamlined, focused quince to appeal to a broader audience.",Estate Dry,88,17,Michigan,Leelanau Peninsula,,Alexander Peartree,,Shady Lane 2013 Estate Dry Riesling (Leelanau Peninsula),Riesling,Shady Lane
61573,US,"Alluring aromas of tobacco, forest floor, smoking incense and chocolate are well defined. Supportive tannins frame its soft core, while conspicuous acids ramp up the earthy flavors. It finishes long, with a lingering note of dark stone fruit.",Bethlehem Valley,85,25,Missouri,Missouri,,,,Mount Pleasant Winery 2008 Bethlehem Valley Norton (Missouri),Norton,Mount Pleasant Winery
62446,US,"There's a nice weight and intensity to this wine, especially for a grape that is often deemed innocuous and light. Apple and pear skin tones offer tension to the fuzzy-textured palate, with a vein of citrus keeping everything in focus.",,87,17,Michigan,Old Mission Peninsula,,Alexander Peartree,,2 Lads 2013 Pinot Grigio (Old Mission Peninsula),Pinot Grigio,2 Lads
62448,US,"This uncommon Alsatian variety seems to do well in the equally cool-climate of northern Michigan. Steely-lemon focused, with salty cheese rind and sea spray notes, this light-bodied white is given a bit of breadth from eight months aging in neutral French oak.",,87,19,Michigan,Leelanau Peninsula,,Alexander Peartree,,Bel Lago 2012 Auxerrois (Leelanau Peninsula),Auxerrois,Bel Lago
62450,US,"Lemon, mineral dust and quince aromas lead the invigorating nose. The light-bodied palate is snappy with acidity, yet balanced, and shows juicy lemon-lime upfront. While short, the finish is quinine in nature, making this zesty sipper a perfect partner for briny shellfish.",,87,18,Michigan,Leelanau Peninsula,,Alexander Peartree,,Blustone 2013 Chardonnay (Leelanau Peninsula),Chardonnay,Blustone
62451,US,"Peach blossom, pollen and a spray of citrus carry the nose. Slightly off dry in style, there's a bit of weight to the palate of crunchy red apples and underripe peach, with citrus cream and a shot of lime on the finish.",,87,NA,Michigan,Leelanau Peninsula,,Alexander Peartree,,Blustone 2013 Riesling (Leelanau Peninsula),Riesling,Blustone
62453,US,"There's a nice intensity of pineapple, guava and hoppy, floral aromas on the nose of this estate-grown Riesling. Racy and linear on the light-bodied palate, tart tropical fruits meet a chalky midpalate and carry to a brisk citrus finish.",Estate Grown Crain Hill Vineyards Trocken,87,25,Michigan,Leelanau Peninsula,,Alexander Peartree,,Brengman Brothers 2013 Estate Grown Crain Hill Vineyards Trocken Riesling (Leelanau Peninsula),Riesling,Brengman Brothers
62454,US,"Cherry stems and red plum aromas show meekly on the nose. This cool-climate Merlot is plush in feel, with soft yet grippy tannins offering support to a palate of fleshy plum and tart currant. A streamlined mineral vein keeps the focus.",Estate Grown,87,50,Michigan,Old Mission Peninsula,,Alexander Peartree,,Brys 2012 Estate Grown Merlot (Old Mission Peninsula),Merlot,Brys
62474,US,"Muddled raspberries and shades of darker berries carry over a smoky background on the nose. The light-bodied palate shows a round, silky texture, with red cherry and savory, herbal tones. A persistent stream of acidity carries everything along to a lingering, fruit-tinged finish.",Arcturos,87,25,Michigan,Michigan,,Alexander Peartree,,Black Star Farms 2012 Arcturos Pinot Noir (Michigan),Pinot Noir,Black Star Farms
64291,US,"Floral and exotic, this smells like a bowl of rose petals and orange blossoms marinating in lime juice. It feels loose, soft and medium bodied, with a discernible sweetness that offsets a hint of bitterness.",Riverboat Sweet White Wine,84,7,Missouri,Missouri,,,,Les Bourgeois NV Riverboat Sweet White Wine White (Missouri),White Blend,Les Bourgeois
64297,US,"A skunky scent appears on the nose at first, but it eventually blows off to reveal wooly aromas of white orchard fruit, Meyer lemon and nut. This is a mildly concentrated wine with bright acids, and despite its relatively low alcohol, it manages to have some flesh.",Collector's Series,84,25,Missouri,Missouri,,,,Les Bourgeois 2010 Collector's Series Vidal Blanc (Missouri),Vidal Blanc,Les Bourgeois
67729,US,"Grown in the winery's Nellaserra greenhouse vineyards, this Cabernet Franc and Merlot blend achieves warmer climate ripeness in one of Michigan's northern AVAs. Aged 24 months in barriques, inital oak aromas of toasted brown spices and vanilla pervade. The palate is round and silky yet structured by grippy tannins, with rich dark berries meeting specks of black pepper and rooibos.",Row 7,89,49,Michigan,Old Mission Peninsula,,Alexander Peartree,,Mari 2010 Row 7 Red (Old Mission Peninsula),Bordeaux-style Red Blend,Mari
69766,US,"A blend of Cabernet Franc, Cabernet Sauvignon, Merlot and Syrah, this wine shows a mild concentration of ripe raspberry and bramble berry on the nose. The medium-weight palate is soft in feel, with juicy raspberry and red cherry showing a slight undercurrent of green peppercorns. A toasted praline note marks the close.",Winemaker's,86,42,Michigan,Michigan,,Alexander Peartree,,Blustone 2013 Winemaker's Red (Michigan),Red Blend,Blustone
69767,US,"Quite quinine and focused on the nose, underripe peach tones linger underneath. The well-balanced palate plays between juicy peach and shocks of lime, leading to a talc-dusted finish.",Medium Sweet,86,15,Michigan,Old Mission Peninsula,,Alexander Peartree,,Bowers Harbor 2014 Medium Sweet Riesling (Old Mission Peninsula),Riesling,Bowers Harbor
69770,US,"This single-vineyard offering from northern Michigan sees 20 months in oak, of which 39% is new. At this stage, the medium toast of the oak stands out on the nose, giving aromas of charred red and black berries. The palate is more fresh in nature, with streaks of granite and black pepper lighting the way over a dark-berry core.",Proprietor's Reserve Krupka Vineyard,86,26,Michigan,Old Mission Peninsula,,Alexander Peartree,,Chateau Chantal 2012 Proprietor's Reserve Krupka Vineyard Cabernet Franc (Old Mission Peninsula),Cabernet Franc,Chateau Chantal
69771,US,"A mild concentration of peach, pineapple and an underpinning of floral tones mark the nose. The medium-sweet palate shows good tension and balance, with ripe yellow apple flavors meeting brisk pineapple.",Late Harvest,86,14,Michigan,Michigan,,Alexander Peartree,,Chateau Grand Traverse 2014 Late Harvest Riesling (Michigan),Riesling,Chateau Grand Traverse
69780,US,"Docile aromas of apricot and peach linger under an oaky blanket of toasted coconut praline. Full and silky on the palate, the fruit tones remain quiet, taking on a lightly brÃ»lÃ©ed character. Texture wins over flavor intensity in this Viognier that has seen 18 months in French oak.",Single Barrel Thomas Vineyard Domaine Barrien,86,59,Michigan,Lake Michigan Shore,,Alexander Peartree,,Nathaniel Rose 2013 Single Barrel Thomas Vineyard Domaine Barrien Viognier (Lake Michigan Shore),Viognier,Nathaniel Rose
69790,US,"Initial notes of yeasty citrus are lifted by pear and white blossom on the nose. The citrus-driven palate brings additional blossomy tones alongside Gala apple, with a slight undercurrent of bitter grapefruit pith. Light, fresh and clean, this sparkling GrÃ¼ner is an attractive option as an apÃ©ritif.",Scriptorium Sezession Brut Sparkling,86,26,Michigan,Old Mission Peninsula,,Alexander Peartree,,Mari 2013 Scriptorium Sezession Brut Sparkling GrÃ¼ner Veltliner (Old Mission Peninsula),GrÃ¼ner Veltliner,Mari
72120,US,"Black pepper, mineral and berry aromas are integrated and impressive in this Cab. Integrated flavors offer dimension and poise, and substantial structure means it can age. Pair with roast beef or a creamy, aged cheese. An effort to be applauded.",,86,40,Missouri,Augusta,,Susan Kostrzewa,@suskostrzewa,Mount Pleasant Winery 2005 Cabernet Sauvignon (Augusta),Cabernet Sauvignon,Mount Pleasant Winery
72535,US,"Who knew Ohio made such tasty Chardonnay? Bright and fresh, with scents of green apple, pear, fresh herbs and just a hint of nut oil. This dry, medium-bodied wine offsets juicy flavors of nectarines and apples against a backdrop of sweet cream and white flowers that lingers on the finish. Drink now.",,87,11,Ohio,Grand River Valley,,Anna Lee C. Iijima,,DebonnÃ© 2009 Chardonnay (Grand River Valley),Chardonnay,DebonnÃ©
79577,US,"This is a medium-bodied wine with notes of dried rose, spiced pastry dough and sour cherry. It finishes short and dry, with faint flavors overlaying the firm, tannic framework.",Row 7 Red,84,50,Michigan,Old Mission Peninsula,,,,Villa Mari 2007 Row 7 Red Red (Old Mission Peninsula),Red Blend,Villa Mari
79703,US,"A flabby nose of muddled citrus and bruised pear carries to the perceptibly sugary palate. This is a light and lithe Pinot Grigio, best enjoyed in casual settings.",Reserve,82,13,Michigan,Lake Michigan Shore,,Alexander Peartree,,St. Julian 2013 Reserve Pinot Grigio (Lake Michigan Shore),Pinot Grigio,St. Julian
79914,US,"Tropical scents of kiwi and Catawba are strung together with a touch of caramel syrup and a hint of sulfur. The palate has a pudgy feel upon entrance, with mild flavor concentration. As the wine sits in the glass, the acidity flattens out and a cheesy flavor surfaces.",,83,11,Missouri,Missouri,,,,Les Bourgeois 2010 Chardonel (Missouri),Chardonel,Les Bourgeois
81594,US,"Ripe peach and citrus blossom pervade over a delicate honeycomb aroma. Lush nectarine and tart tropical fruit give way on the palate, with crushed stone providing much needed tension. This medium-dry Riesling would be best enjoyed as an apÃ©ritif.",Braganini Reserve Mountain Road,86,20,Michigan,Lake Michigan Shore,,Alexander Peartree,,St. Julian 2013 Braganini Reserve Mountain Road Riesling (Lake Michigan Shore),Riesling,St. Julian
81595,US,"Ripe on the nose, with aromas of fruit cocktail and sweet tea, this is a straightforward Riesling bound to please most. The round and peach-driven palate is enlivened by a citrus backdrop, providing just enough lift to carry the short finish.",Braganini Reserve,86,15,Michigan,Michigan,,Alexander Peartree,,St. Julian 2013 Braganini Reserve Riesling (Michigan),Riesling,St. Julian
83285,US,"A tart red-currant tone is deepened by streaks of blackberry and granite in this medium-bodied Cab Franc. Showing adequate structure from the tannins and acidity, this wine progresses nicely from the fruity start to the vanilla-dusted finish.",,86,24,Michigan,Michigan,,Alexander Peartree,,Mackinaw Trail 2012 Cabernet Franc (Michigan),Cabernet Franc,Mackinaw Trail
84403,US,"Hailing from a warm vintage, this vineyard-designated wine from northern Michigan shows a vibrant and integrated nose of ripe cherry and raspberry, with hints of white pepper, dusty cedar and button mushroom. Don't let the light color fool you; this wine shows an intriguing depth of flavor and breadth to the palate. Juicy red cherry tones are sprinkled with tilled earth and red flowers, all supported by finely-grained tannins.",North Vineyard,90,30,Michigan,Leelanau Peninsula,,Alexander Peartree,,Bel Lago 2012 North Vineyard Pinot Noir (Leelanau Peninsula),Pinot Noir,Bel Lago
87939,US,Mild aromas of citrus cream and sea spray mark the nose. Broader stone fruit flavors give weight to the palate that doesn't seem to quite balance out by the sugary finish.,Across The Pond,84,26,Michigan,Old Mission Peninsula,,Alexander Peartree,,City Winery Chicago 2013 Across The Pond Riesling (Old Mission Peninsula),Riesling,City Winery Chicago
87940,US,"Predominately made with La Crescent, a hybrid grape with Muscat heritage, this sparkling wine brings exotic notes of lychee and rose over muddled pear flavors. The aggressive bubbles do little to cover the sugary-sweet finish.",Stereo,84,32,Illinois,Illinois,,Alexander Peartree,,Illinois Sparkling Co. NV Stereo Sparkling (Illinois),Sparkling Blend,Illinois Sparkling Co.
87950,US,"Medium-salmon in color, this sparkling rosÃ© made from Marechal Foch offers raspberry and strawberry flavors and aromas, with a slightly toasted character. Creamy, nutty notes take over on the finish.",Heirloom Sparkling RosÃ©,84,40,Illinois,Illinois,,Alexander Peartree,,Illinois Sparkling Co. NV Heirloom Sparkling RosÃ© Sparkling (Illinois),Sparkling Blend,Illinois Sparkling Co.
88841,US,"This is a vibrant, energetic Chardonnay that starts with fresh aromas of lemon zest, vanilla and spice and follows with appealing flavors of lemon, spice and citrus. Food- friendly and versatile.",Vintner's Selection,84,17,Ohio,Grand River Valley,,Susan Kostrzewa,@suskostrzewa,DebonnÃ© 2007 Vintner's Selection Chardonnay (Grand River Valley),Chardonnay,DebonnÃ©
93187,US,"Initially tight and closed on the nose, displaying orange oil and anise notes, give this some time in the glass to blossom. With 22 months in French oak, the palate is smooth and silky, displaying juicy red plum and racy currant speckled with pepper and licorice.",Reserve,89,75,Michigan,Old Mission Peninsula,,Alexander Peartree,,2 Lads 2012 Reserve Cabernet Franc (Old Mission Peninsula),Cabernet Franc,2 Lads
94267,US,"Although the nose offers darker notes of petrol, bruised apples and cooked green peppers, the palate on this semisweet wine is prettier with hints of sugar-laced oolong tea and white florals.",Lot 807 Reserve,83,15,Ohio,Grand River Valley,,Anna Lee C. Iijima,,DebonnÃ© 2008 Lot 807 Reserve Riesling (Grand River Valley),Riesling,DebonnÃ©
94357,US,"Aromas of toasted marshmallow, lemon juice and papaya swarm the nose. The semisweet palate tastes floral and tropical, and it manages to keep its form with bright acidity. A touch of kiwi marks the finish.",Semi-Sweet,85,10,Missouri,Missouri,,,,Mount Pleasant Winery NV Semi-Sweet Vignoles (Missouri),Vignoles,Mount Pleasant Winery
95931,US,"While there are not many acres of Gamay in Michigan, it seems to be an viable addition to the rows of Pinot throughout the the state's two northern AVAs. From a warmer vintage, this wine shows plenty of red cherry and strawberry alongside lightly toasted vanilla. While juicy and snappy, a light dusting of tannins offers just enough support.",Reserve,87,25,Michigan,Old Mission Peninsula,,Alexander Peartree,,Chateau Grand Traverse 2012 Reserve Gamay (Old Mission Peninsula),Gamay,Chateau Grand Traverse
95945,US,"Using shriveled, dried Cabernet Franc grapes, this appassimento-style wine is a new endeavor in the Michigan wine scene, yet it might merit further experimentation for such a cool climate growing region. Initial notes of balsamic blow off to reveal notes of brandied cherries and dried hay. Medium in weight, with fine, sandy tannins, the palate is condensed and ripe in fresh cherry tones that linger on the finish. As a result of the drying process, the alcohol hits over 15%, yet beyond the roundness on the palate, it's quite imperceptible.",Unrestricted Passito,87,50,Michigan,Lake Michigan Shore,,Alexander Peartree,,Mackinaw Trail 2013 Unrestricted Passito Cabernet Franc (Lake Michigan Shore),Cabernet Franc,Mackinaw Trail
97967,US,"This uncommon Alsatian variety shares the same parentage as Chardonnay, which is a crossing of Pinot Noir and Gouais Blanc. Much like its Burgundian sibling, this grape seems to perform well in oak. This example is steely and citrus driven, with milky white-flower tones. Having spent one year in neutral French oak, the palate is broad and rich, yet impeccably balanced by crisp acidity.",,88,19,Michigan,Leelanau Peninsula,,Alexander Peartree,,Bel Lago 2013 Auxerrois (Leelanau Peninsula),Auxerrois,Bel Lago
97968,US,"After a bit of searching through a blanket of coffee and cocoa, fresh red currant and plum show on the nose. A solid concentration of crunchy red and black berries meets an enlivened vein of pencil lead, with pleasantly bitter cocoa lingering on the finish. There's a nice balance of plushness, medium-grained tannin and persistent acidity, making this wine easily enjoyable now.",Leorie Vineyard,88,48,Michigan,Old Mission Peninsula,,Alexander Peartree,,Black Star Farms 2012 Leorie Vineyard Merlot-Cabernet Franc (Old Mission Peninsula),Merlot-Cabernet Franc,Black Star Farms
97971,US,"While the nose seems dominated by oak, with charred bacon and cola aromas, the palate shows plenty of fruit, offering velvety dark cherry in the lead. Savory spice notes streak across the plush, structured palate, giving way to a mocha finish. There's enough acidity and tannic structure to explore how this will develop in the years to come. Give it another year or two for the oak to integrate further.",Estate Grown,88,32,Michigan,Old Mission Peninsula,,Alexander Peartree,,Brys 2013 Estate Grown Pinot Noir (Old Mission Peninsula),Pinot Noir,Brys
99035,US,"Steely and lime-driven at first, aromas of underripe peach and red apple quietly emerge on the nose. Juicy apple and Meyer lemon show brightly on the palate, with crisp and balanced acidity providing solid structure. This is a straightforward but delicious Riesling, perfect as an apÃ©ritif.",Block II,87,32,Michigan,Old Mission Peninsula,,Alexander Peartree,,Bowers Harbor 2013 Block II Riesling (Old Mission Peninsula),Riesling,Bowers Harbor
99888,US,"This has a mild, soft nose, with scents of broad black fruit, boiled asparagus and peppered meat. The palate is full bodied, with ripe tannins. A note of sour black-raspberry candy marks the finish.",,82,15,Missouri,Missouri,,,,Montelle 2010 Chambourcin (Missouri),Chambourcin,Montelle
99911,US,"The timid nose squeaks out notes of Chinese five spice and warm green apple, with a slight hint of sulfur. Light to medium bodied, the palate bears a slight sweetness, tame acids and a quick finish.",Villagio Off Dry,82,9,Missouri,Missouri,,,,Mount Pleasant Winery NV Villagio Off Dry White (Missouri),White Blend,Mount Pleasant Winery
99936,US,"Inky in color with tar, rhubarb and green tomato scents that slide into a more earthy expression on the palate. A year or two in bottle will smooth the grippy tannins. Try with spare ribs.",Estate Bottled,84,12,Ohio,Isle St. George,,,,Firelands 2005 Estate Bottled Cabernet Sauvignon (Isle St. George),Cabernet Sauvignon,Firelands
99941,US,"An elegant surprise from Michigan, this sparkling Riesling starts with fresh apple and pear aromas and leads into balanced layers of fruit and creamy toast. Aromatic and a touch sweet, it finishes dry and snappy. A fun find.",Sparkling,84,22,Michigan,Leelanau Peninsula,,Susan Kostrzewa,@suskostrzewa,Shady Lane 2006 Sparkling Riesling (Leelanau Peninsula),Riesling,Shady Lane
100078,US,"This is a red-smelling wine, with a note of strawberry-rhubarb preserves as the primary aroma. Light to medium bodied, it has a glossy feel due to the lithe tannins and well-managed acids. Easygoing and enjoyable, it finishes with a ripe strawberry-shortcake note and a slight tea-like bitterness.",Estates,85,24,Missouri,Augusta,,,,Mount Pleasant Winery 2010 Estates St. Vincent (Augusta),St. Vincent,Mount Pleasant Winery
100093,US,"Blueberry compote, blackberry and dill-butter aromas are strung together with threads of raisin and medicinal mint. Integrated, medium-grained tannins and proportioned acids create an agile mouthfeel, although the flavors seem to drop out a bit on the midpalate.",,85,10,Missouri,Augusta,,,,Augusta Winery 2009 Chambourcin (Augusta),Chambourcin,Augusta Winery
100445,US,"Fresh minerality and dancing floral notes make the nose on this reserve Riesling enticing. On the palate, typical Riesling flavors of spice and flowers are slightly slowed by a viscous, heavier mouthfeel, but overall, the wine is harmonious. Great with a spicy Indian dish like Vindalooâ€”it could hold its own.",Reserve,84,11,Ohio,Grand River Valley,,Susan Kostrzewa,@suskostrzewa,DebonnÃ© 2006 Reserve Riesling (Grand River Valley),Riesling,DebonnÃ©
100452,US,"A slightly floral but lively nose is followed by a pretty, balanced spice and white flower mix on the palate with this offering from Ohio. Paired with a delicate Asian dish, this wine is a fun choice.",Lot 707 Reserve,84,15,Ohio,Grand River Valley,,Susan Kostrzewa,@suskostrzewa,DebonnÃ© 2006 Lot 707 Reserve Riesling (Grand River Valley),Riesling,DebonnÃ©
100471,US,"Anyone who doesn't like barnyard smells will want to steer clear of this funky example from Iowa. The crisp palate shows some cherry notes and little tannin. Finishes with some oily, ashy notes.",Roy's Vineyard at Cherry Creek,81,20,Iowa,Iowa,,,,Jasper 2006 Roy's Vineyard at Cherry Creek Chancellor (Iowa),Chancellor,Jasper
100474,US,"The gorgeously opaque ruby color raises high hopes. However, the undistinguished, earthy nose fails to deliver. The lush palate is a step up, with red berry soup flavors interwoven with an odd ashy note. Long finish. Drink up.",,81,10,Missouri,Missouri,,,,Montelle 2007 Chambourcin (Missouri),Chambourcin,Montelle
101964,US,"Using shriveled, dried Cabernet Franc grapes, this appassimento-style wine is a new endeavor in the Michigan wine scene, yet it might merit further experimentation for such a cool climate growing region. Initial notes of balsamic blow off to reveal notes of brandied cherries and dried hay. Medium in weight, with fine, sandy tannins, the palate is condensed and ripe in fresh cherry tones that linger on the finish. As a result of the drying process, the alcohol hits over 15%, yet beyond the roundness on the palate, it's quite imperceptible.",Unrestricted Passito,87,50,Michigan,Lake Michigan Shore,,Alexander Peartree,,Mackinaw Trail 2013 Unrestricted Passito Cabernet Franc (Lake Michigan Shore),Cabernet Franc,Mackinaw Trail
102579,US,"This smells like warm chocolate ganache spread over layers of vanilla buttercream and black plums. It feels loose on the palate, offering soft acidity and only a slight tug of tannin toward the chocolaty finish.",Bethlehem Valley,82,28,Missouri,Missouri,,,,Mount Pleasant Winery 2009 Bethlehem Valley Norton (Missouri),Norton,Mount Pleasant Winery
102585,US,"This Chambourcin has medium-intense aromas of chocolate-covered cherries, dill and caramel popcorn. The medium-bodied palate feels limp due to soft tannins and languid acids.",Collector's Series,82,25,Missouri,Missouri,,,,Les Bourgeois 2010 Collector's Series Chambourcin (Missouri),Chambourcin,Les Bourgeois
102601,US,"Scents of red licorice and candied ruby grapefruit and red berry portend the sweetness of this wine. The palate feels slack, and it comes with noticeable residual sugar. Delicate tannins lend the finish light traction.",Riverboat Smooth Sweet,81,7,Missouri,Missouri,,,,Les Bourgeois NV Riverboat Smooth Sweet Red (Missouri),Red Blend,Les Bourgeois
102769,US,"Fresh lemon and crushed mineral tones ride over restrained aromas of tart peach and apple skin. The palate shows underripe pear and sour lemon, with a finish reminiscent of Pixy Stix.",Smokey Hollow,86,18,Michigan,Old Mission Peninsula,,Alexander Peartree,,Bowers Harbor 2013 Smokey Hollow Riesling (Old Mission Peninsula),Riesling,Bowers Harbor
103458,US,"Pronounced notes of strawberry and red cherry are laced with notes of vanilla and brown sugar on the nose. The light-bodied palate follows suit, with toasted vanilla lingering to the finish.",,88,32,Michigan,Leelanau Peninsula,,Alexander Peartree,,Blustone 2013 Pinot Noir (Leelanau Peninsula),Pinot Noir,Blustone
103524,US,"A heady, floral aroma of rose petal meets faint tones of grapefruit rind and unripe tropical fruit on the nose. Round in weight, the palate is riper in character, with an additional note of honey on the close.",Reserve,86,13,Michigan,Lake Michigan Shore,,Alexander Peartree,,St. Julian 2013 Reserve Traminette (Lake Michigan Shore),Traminette,St. Julian
103528,US,"The restrained nose of this Frontenac Gris and St. Pepin sparkling wine shows steely lemon and cheese rind notes. The palate brings a bit more character, with riper tones of crisp green apple and pear carried along by a mild mousse of bubbles.",Brut,86,26,Illinois,Illinois,,Alexander Peartree,,Illinois Sparkling Co. NV Brut Sparkling (Illinois),Sparkling Blend,Illinois Sparkling Co.
103677,US,"Farmed under the winery's Nellaserra greenhouse system, this is an atypical blend for northern Michigan: 40% Cabernet Sauvignon, 25% Nebbiolo, 20% Merlot and 15% Syrah. This is a seemless mÃ©lange of spiced currant, cranberry and red plum, accented by warm spices and crushed violets. The round, medium-to full-bodied palate follows suit, with streaks of crushed stone giving levity all the way through to the lingering toasted-spice finish.",Ultima Thule,90,55,Michigan,Old Mission Peninsula,,Alexander Peartree,,Mari 2010 Ultima Thule Red (Old Mission Peninsula),Red Blend,Mari
104683,US,"While the aromas of white strawberry, passion fruit preserves and citrus are soft spoken, they increase in intensity on the palate. Relatively low in alcohol, with sweetness and bright acidity, this should pair well with exotic, slightly spicy fare, like curried chicken with mango chutney.",Reserve Lot 907,86,15,Ohio,Grand River Valley,,,,DebonnÃ© 2009 Reserve Lot 907 Riesling (Grand River Valley),Riesling,DebonnÃ©
106729,US,"Established in the early 70s by Ed O'Keefe Jr., this Michigan winery remains in the family to this day and maintains the founding father's focus on producing wines from 100% vinifera grapes in a region where hybrids might be the easier option. Perseverance pays off in this delightfully balanced dry Riesling that seamlessly blends juicy peach, pineapple rind and a vein of talc-dusted citrus. Texturally round and soft, with a peach-fuzz feel, this is a veritable steal for the price.",Dry,90,13,Michigan,Old Mission Peninsula,,Alexander Peartree,,Chateau Grand Traverse 2013 Dry Riesling (Old Mission Peninsula),Riesling,Chateau Grand Traverse
107339,US,"While the nose is focused on delicate lemon, apple and talc aromas, the juicy palate brings peach and crunchy red apple-skin flavors. Off dry in style, with vibrant acidity, this is a well-balanced offering from this northern Michigan producer.",Block II & Langley,88,32,Michigan,Old Mission Peninsula,,Alexander Peartree,,Bowers Harbor 2014 Block II & Langley Riesling (Old Mission Peninsula),Riesling,Bowers Harbor
107357,US,"An earthy geranium note lingers above a core of dark cherry and raspberry on the nose. The medium-bodied palate boasts light tannins and a flavor profile of cherries, wilting red flowers and anise.",,87,29,Michigan,Old Mission Peninsula,,Alexander Peartree,,2 Lads 2013 Pinot Noir (Old Mission Peninsula),Pinot Noir,2 Lads
115911,US,Steely lemon aromas bring some focus to overripe apple and candied banana tones on the nose. The palate is light on intensity of mushy peach and candied flavors.,Medium Dry,85,15,Michigan,Old Mission Peninsula,,Alexander Peartree,,Bowers Harbor 2014 Medium Dry Riesling (Old Mission Peninsula),Riesling,Bowers Harbor
115912,US,"This is a light, juicy and snappy Chardonnay, with peach and pineapple notes held in line against crisp green-apple acidity.",Estate Grown Artist Series Crain Hill Vineyards Unoaked,85,35,Michigan,Leelanau Peninsula,,Alexander Peartree,,Brengman Brothers 2013 Estate Grown Artist Series Crain Hill Vineyards Unoaked Chardonnay (Leelanau Peninsula),Chardonnay,Brengman Brothers
115934,US,"Despite this being aged in new Russian oak, this Chardonnay is light bodied and oddly floral. Wild flower tones ride over underripe peach, with leesy undertones.",Unrestricted Barrel Reserve,84,45,Michigan,Lake Michigan Shore,,Alexander Peartree,,Mackinaw Trail 2014 Unrestricted Barrel Reserve Chardonnay (Lake Michigan Shore),Chardonnay,Mackinaw Trail
116913,US,"While the nose has a persistent apple cider quality, the palate brings a bit more nuance, with unripe peach and sweet-and-sour lemon flavors.",,83,15,Michigan,Leelanau Peninsula,,Alexander Peartree,,Good Harbor 2011 Riesling (Leelanau Peninsula),Riesling,Good Harbor
116925,US,"Tangerine and orange zest aromas are overcome by a peppery and stemmy quality. The palate feels underripe, offering tart citrus flavors and soapy floral tones.",Late Harvest,82,15,Michigan,Michigan,,Alexander Peartree,,Mackinaw Trail 2013 Late Harvest Riesling (Michigan),Riesling,Mackinaw Trail
116937,US,"Slightly dusty, but piquant aromas of freshly pressed apple cider are pleasant in this fairly dry Michigan Riesling. Bright, appley flavors make for easy drinking, but finish with just the right hint of bitter lemon and lime pith.",Dry,84,18,Michigan,Old Mission Peninsula,,Anna Lee C. Iijima,,Peninsula 2010 Dry Riesling (Old Mission Peninsula),Riesling,Peninsula
116947,US,"While floral notes waver a bit chemically on the nose, the palate on this Michigan Riesling is nicely concentrated, with abundant fresh apple and citrus flavors. Just slightly off-dry in style, it finishes sprightly with cut and focus.",Block II,84,25,Michigan,Old Mission Peninsula,,Anna Lee C. Iijima,,Bowers Harbor 2010 Block II Riesling (Old Mission Peninsula),Riesling,Bowers Harbor
120456,US,"The nose boasts ripe dark cherry and raspberry aromas, with a dash of spice for nuance. Light, smooth and juicy on the palate, cherry and blackberry flavors resound in this easygoing Pinot Noir.",D. CuvÃ©e,86,44,Michigan,Old Mission Peninsula,,Alexander Peartree,,2 Lads 2013 D. CuvÃ©e Pinot Noir (Old Mission Peninsula),Pinot Noir,2 Lads
